Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/checkIsPrimeNumber?number=10120343691523371,1,0,64.28937497548759,64.28937497548759,64.28937497548759,64.28937497548759,5.0,0.016916186395796715,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/checkIsPrimeNumber?number=10196195935378718,1,0,73.47412500530481,73.47412500530481,73.47412500530481,73.47412500530481,5.0,0.016916186395796715,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/checkIsPrimeNumber?number=10373555036228563,1,0,862.9560830013361,862.9560830013361,862.9560830013361,862.9560830013361,5.0,0.016916186395796715,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/checkIsPrimeNumber?number=10644965740228347,1,0,266.43979098298587,266.43979098298587,266.43979098298587,266.43979098298587,5.0,0.016916186395796715,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/checkIsPrimeNumber?number=10970650807754318,1,0,265.410541993333,265.410541993333,265.410541993333,265.410541993333,5.0,0.016916186395796715,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/checkIsPrimeNumber?number=11143858638450262,1,0,960.8681249956135,960.8681249956135,960.8681249956135,960.8681249956135,5.0,0.016916186395796715,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/checkIsPrimeNumber?number=11147532221950872,1,0,1416.2625839817338,1416.2625839817338,1416.2625839817338,1416.2625839817338,5.0,0.016916186395796715,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/checkIsPrimeNumber?number=11472847325976020,1,0,166.48099999292754,166.48099999292754,166.48099999292754,166.48099999292754,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=11603640987531436,1,0,166.7756660026498,166.7756660026498,166.7756660026498,166.7756660026498,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=11631050721635342,1,0,293.2984580111224,293.2984580111224,293.2984580111224,293.2984580111224,5.0,0.016916186395796715,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/checkIsPrimeNumber?number=11693018255091548,1,0,196.96108298376203,196.96108298376203,196.96108298376203,196.96108298376203,5.0,0.016916186395796715,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=11694896039177184,1,0,169.28625002037734,169.28625002037734,169.28625002037734,169.28625002037734,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=12060050311782488,1,0,365.9515419858508,365.9515419858508,365.9515419858508,365.9515419858508,5.0,0.016916186395796715,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/checkIsPrimeNumber?number=12515209278033796,1,0,299.6116670256015,299.6116670256015,299.6116670256015,299.6116670256015,5.0,0.016916186395796715,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/checkIsPrimeNumber?number=12560245565595660,1,0,58.523292012978345,58.523292012978345,58.523292012978345,58.523292012978345,5.0,0.016916186395796715,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/checkIsPrimeNumber?number=13154825883642755,1,0,183.74154198681936,183.74154198681936,183.74154198681936,183.74154198681936,5.0,0.016916186395796715,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/checkIsPrimeNumber?number=13963503695282749,1,0,169.2404999921564,169.2404999921564,169.2404999921564,169.2404999921564,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=15167107201598840,1,0,308.213334006723,308.213334006723,308.213334006723,308.213334006723,5.0,0.016916186395796715,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/checkIsPrimeNumber?number=15429206561573553,1,0,161.66974999941885,161.66974999941885,161.66974999941885,161.66974999941885,5.0,0.016916186395796715,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/checkIsPrimeNumber?number=15463991483139096,1,0,368.8947090122383,368.8947090122383,368.8947090122383,368.8947090122383,5.0,0.016916186395796715,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/checkIsPrimeNumber?number=15691861468650563,1,0,165.13912499067374,165.13912499067374,165.13912499067374,165.13912499067374,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=15756970197005676,1,0,175.02970900386572,175.02970900386572,175.02970900386572,175.02970900386572,5.0,0.016916186395796715,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/checkIsPrimeNumber?number=15904573249216407,1,0,198.39125001453795,198.39125001453795,198.39125001453795,198.39125001453795,5.0,0.016916186395796715,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=18357132499677882,1,0,539.2529999953695,539.2529999953695,539.2529999953695,539.2529999953695,5.0,0.016916186395796715,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/checkIsPrimeNumber?number=18973229328081906,1,0,75.28791602817364,75.28791602817364,75.28791602817364,75.28791602817364,5.0,0.016916186395796715,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/checkIsPrimeNumber?number=19313097592473381,1,0,368.7007510161493,368.7007510161493,368.7007510161493,368.7007510161493,5.0,0.016916186395796715,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/checkIsPrimeNumber?number=19829705652168245,1,0,266.37216698145494,266.37216698145494,266.37216698145494,266.37216698145494,5.0,0.016916186395796715,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/checkIsPrimeNumber?number=19902362406808694,1,0,176.82237501139753,176.82237501139753,176.82237501139753,176.82237501139753,5.0,0.016916186395796715,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/checkIsPrimeNumber?number=20138511413813215,1,0,1215.764208987821,1215.764208987821,1215.764208987821,1215.764208987821,5.0,0.016916186395796715,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/checkIsPrimeNumber?number=21452774774303912,1,0,263.63274999312125,263.63274999312125,263.63274999312125,263.63274999312125,5.0,0.016916186395796715,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/checkIsPrimeNumber?number=21513531420603339,1,0,136.0357910161838,136.0357910161838,136.0357910161838,136.0357910161838,5.0,0.016916186395796715,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/checkIsPrimeNumber?number=21563489398914494,1,0,149.18145799310878,149.18145799310878,149.18145799310878,149.18145799310878,5.0,0.016916186395796715,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/checkIsPrimeNumber?number=21577591314094271,1,0,169.8887079837732,169.8887079837732,169.8887079837732,169.8887079837732,5.0,0.016916186395796715,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=21673273436877632,1,0,204.39804199850187,204.39804199850187,204.39804199850187,204.39804199850187,5.0,0.016916186395796715,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=21730579373207984,1,0,77.71358400350437,77.71358400350437,77.71358400350437,77.71358400350437,5.0,0.016916186395796715,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/checkIsPrimeNumber?number=21887918380540764,1,0,164.39775002072565,164.39775002072565,164.39775002072565,164.39775002072565,5.0,0.016916186395796715,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/checkIsPrimeNumber?number=22061159169671762,1,0,255.933415988693,255.933415988693,255.933415988693,255.933415988693,5.0,0.016916186395796715,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/checkIsPrimeNumber?number=22062737692071247,1,0,159.84762500738725,159.84762500738725,159.84762500738725,159.84762500738725,5.0,0.016916186395796715,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/checkIsPrimeNumber?number=22074321400949915,1,0,136.4555409818422,136.4555409818422,136.4555409818422,136.4555409818422,5.0,0.016916186395796715,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/checkIsPrimeNumber?number=22220218764904248,1,0,259.98245799564756,259.98245799564756,259.98245799564756,259.98245799564756,5.0,0.016916186395796715,0.0,260,260,260,260,260,260,260,260,260,260,260
