Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/camelcase?text=I%20have%20a%20split%20personality%20said%20Tom%2C%20being%20Frank.,1,0,539.7298750031041,539.7298750031041,539.7298750031041,539.7298750031041,41.0,1.4541505987275545,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/prod/camelcase?text=I%20told%20my%20computer%20I%20needed%20a%20break%2C%20and%20now%20it%20won%E2%80%99t%20stop%20sending%20me%20Kit-Kats.,1,0,589.5202499959851,589.5202499959851,589.5202499959851,589.5202499959851,62.0,1.4541505987275545,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20should%20embrace%20her%20mistakes.%20She%20gave%20me%20a%20hug.,2,0,540.0,555.8245215070201,537.1990420098882,574.450001004152,53.0,2.908301197455109,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/prod/camelcase?text=I%27m%20on%20a%20seafood%20diet.%20I%20see%20food%20and%20I%20eat%20it.,1,0,549.9979589949362,549.9979589949362,549.9979589949362,549.9979589949362,35.0,1.4541505987275545,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/prod/camelcase?text=I%27m%20terrified%20of%20elevators%2C%20so%20I%E2%80%99m%20going%20to%20start%20taking%20steps%20to%20avoid%20them.,1,0,549.823874986032,549.823874986032,549.823874986032,549.823874986032,62.0,1.4541505987275545,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/prod/camelcase?text=My%20wife%20told%20me%20to%20stop%20impersonating%20a%20flamingo.%20I%20had%20to%20put%20my%20foot%20down.,2,0,552.1976669988362,599.0719374967739,552.1976669988362,645.9462079947116,61.0,2.908301197455109,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/prod/camelcase?text=Time%20flies%20like%20an%20arrow.%20Fruit%20flies%20like%20a%20banana.,1,0,486.8404579901835,486.8404579901835,486.8404579901835,486.8404579901835,43.0,1.4541505987275545,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/prod/camelcase?text=Why%20don%E2%80%99t%20skeletons%20fight%20each%20other%3F%20They%20don%E2%80%99t%20have%20the%20guts.,1,0,619.6497919881949,619.6497919881949,619.6497919881949,619.6497919881949,51.0,1.4541505987275545,0.0,620,620,620,620,620,620,620,620,620,620,620
,Aggregated,10,0,550.0,564.5355126966024,486.8404579901835,645.9462079947116,52.2,14.541505987275544,0.0,550,570,590,620,650,650,650,650,650,650,650
