Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/checkprime/checkIsPrimeNumber?number=10013332298747028,1,0,44.48462501750328,44.48462501750328,44.48462501750328,44.48462501750328,5.0,0.0002778750825844978,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/checkprime/checkIsPrimeNumber?number=10019410792326824,1,0,360.2320000063628,360.2320000063628,360.2320000063628,360.2320000063628,5.0,0.0002778750825844978,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/checkprime/checkIsPrimeNumber?number=10053150924748086,1,0,34.193792002042755,34.193792002042755,34.193792002042755,34.193792002042755,5.0,0.0002778750825844978,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/checkprime/checkIsPrimeNumber?number=10080954612717289,1,0,329.73408402176574,329.73408402176574,329.73408402176574,329.73408402176574,5.0,0.0002778750825844978,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/checkprime/checkIsPrimeNumber?number=10083141834705607,1,0,37.82800000044517,37.82800000044517,37.82800000044517,37.82800000044517,5.0,0.0002778750825844978,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/checkprime/checkIsPrimeNumber?number=10127438378308223,1,0,1599.2972090025432,1599.2972090025432,1599.2972090025432,1599.2972090025432,5.0,0.0002778750825844978,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/checkprime/checkIsPrimeNumber?number=10149069819971486,1,0,294.86229200847447,294.86229200847447,294.86229200847447,294.86229200847447,5.0,0.0002778750825844978,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/checkprime/checkIsPrimeNumber?number=10182054429073419,1,0,60.067915997933596,60.067915997933596,60.067915997933596,60.067915997933596,5.0,0.0002778750825844978,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/checkprime/checkIsPrimeNumber?number=10207534943493453,1,0,86.05116599937901,86.05116599937901,86.05116599937901,86.05116599937901,5.0,0.0002778750825844978,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/checkprime/checkIsPrimeNumber?number=10253516871209598,1,0,62.97545801498927,62.97545801498927,62.97545801498927,62.97545801498927,5.0,0.0002778750825844978,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/checkprime/checkIsPrimeNumber?number=10259548974594893,1,0,36.21962500619702,36.21962500619702,36.21962500619702,36.21962500619702,5.0,0.0002778750825844978,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/checkprime/checkIsPrimeNumber?number=10264707544304791,1,0,9215.366421005456,9215.366421005456,9215.366421005456,9215.366421005456,5.0,0.0002778750825844978,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
GET,/checkprime/checkIsPrimeNumber?number=10294373273937931,1,0,2284.121625998523,2284.121625998523,2284.121625998523,2284.121625998523,4.0,0.0002778750825844978,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/checkprime/checkIsPrimeNumber?number=10335405270446125,1,0,1258.5925009916537,1258.5925009916537,1258.5925009916537,1258.5925009916537,5.0,0.0002778750825844978,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/checkprime/checkIsPrimeNumber?number=10362729673319657,1,0,62.96308297896758,62.96308297896758,62.96308297896758,62.96308297896758,5.0,0.0002778750825844978,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/checkprime/checkIsPrimeNumber?number=10374908118882313,1,0,73.91441700747237,73.91441700747237,73.91441700747237,73.91441700747237,5.0,0.0002778750825844978,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/checkprime/checkIsPrimeNumber?number=10375257253152730,1,0,50.64604198560119,50.64604198560119,50.64604198560119,50.64604198560119,5.0,0.0002778750825844978,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/checkprime/checkIsPrimeNumber?number=10401440473819216,1,0,410.0050829874817,410.0050829874817,410.0050829874817,410.0050829874817,5.0,0.0002778750825844978,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/checkprime/checkIsPrimeNumber?number=10409604163974653,1,0,37.33037499478087,37.33037499478087,37.33037499478087,37.33037499478087,5.0,0.0002778750825844978,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/checkprime/checkIsPrimeNumber?number=10454204293257343,1,0,2300.541876000352,2300.541876000352,2300.541876000352,2300.541876000352,4.0,0.0002778750825844978,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/checkprime/checkIsPrimeNumber?number=10509320404861411,1,0,2843.384084000718,2843.384084000718,2843.384084000718,2843.384084000718,5.0,0.0002778750825844978,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/checkprime/checkIsPrimeNumber?number=10512946218238127,1,0,35.13762500369921,35.13762500369921,35.13762500369921,35.13762500369921,5.0,0.0002778750825844978,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/checkprime/checkIsPrimeNumber?number=10513203315420463,1,0,93.31162497983314,93.31162497983314,93.31162497983314,93.31162497983314,5.0,0.0002778750825844978,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/checkprime/checkIsPrimeNumber?number=10517071236724160,1,0,3873.036876990227,3873.036876990227,3873.036876990227,3873.036876990227,5.0,0.0002778750825844978,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
GET,/checkprime/checkIsPrimeNumber?number=10518432132596969,1,0,92.27791600278579,92.27791600278579,92.27791600278579,92.27791600278579,5.0,0.0002778750825844978,0.0,92,92,92,92,92,92,92,92,92,92,92
GET,/checkprime/checkIsPrimeNumber?number=10539487726913523,1,0,103.34141697967425,103.34141697967425,103.34141697967425,103.34141697967425,5.0,0.0002778750825844978,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/checkprime/checkIsPrimeNumber?number=10565552111393036,1,0,58.058374997926876,58.058374997926876,58.058374997926876,58.058374997926876,5.0,0.0002778750825844978,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/checkprime/checkIsPrimeNumber?number=10569306508555231,1,0,102.91391599457711,102.91391599457711,102.91391599457711,102.91391599457711,5.0,0.0002778750825844978,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/checkprime/checkIsPrimeNumber?number=10587010355106483,1,0,372.94258299516514,372.94258299516514,372.94258299516514,372.94258299516514,5.0,0.0002778750825844978,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/checkprime/checkIsPrimeNumber?number=10622511787985318,1,0,120.67579102586024,120.67579102586024,120.67579102586024,120.67579102586024,5.0,0.0002778750825844978,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/checkprime/checkIsPrimeNumber?number=10623673404681269,1,0,1445.7902910071425,1445.7902910071425,1445.7902910071425,1445.7902910071425,5.0,0.0002778750825844978,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/checkprime/checkIsPrimeNumber?number=10665126263988217,1,0,617.0667920086998,617.0667920086998,617.0667920086998,617.0667920086998,5.0,0.0002778750825844978,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,/checkprime/checkIsPrimeNumber?number=10677626122984585,1,0,6008.754462003708,6008.754462003708,6008.754462003708,6008.754462003708,5.0,0.0002778750825844978,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
GET,/checkprime/checkIsPrimeNumber?number=10678110784052674,1,0,46.92745898501016,46.92745898501016,46.92745898501016,46.92745898501016,5.0,0.0002778750825844978,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/checkprime/checkIsPrimeNumber?number=10716845656295649,1,0,38.718583004083484,38.718583004083484,38.718583004083484,38.718583004083484,5.0,0.0002778750825844978,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/checkprime/checkIsPrimeNumber?number=10728914199365118,1,0,158.87633402599022,158.87633402599022,158.87633402599022,158.87633402599022,5.0,0.0002778750825844978,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/checkprime/checkIsPrimeNumber?number=10735897527185851,1,0,61.59708398627117,61.59708398627117,61.59708398627117,61.59708398627117,5.0,0.0002778750825844978,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/checkprime/checkIsPrimeNumber?number=10775882172643252,1,0,1927.5219590053894,1927.5219590053894,1927.5219590053894,1927.5219590053894,5.0,0.0002778750825844978,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/checkprime/checkIsPrimeNumber?number=10810141279025886,1,0,43.646875012200326,43.646875012200326,43.646875012200326,43.646875012200326,5.0,0.0002778750825844978,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/checkprime/checkIsPrimeNumber?number=10834082010940877,1,0,7648.388753994368,7648.388753994368,7648.388753994368,7648.388753994368,5.0,0.0002778750825844978,0.0,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
GET,/checkprime/checkIsPrimeNumber?number=10839789498756769,1,0,442.3724160005804,442.3724160005804,442.3724160005804,442.3724160005804,5.0,0.0002778750825844978,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/checkprime/checkIsPrimeNumber?number=10854236052673562,1,0,53.00145799992606,53.00145799992606,53.00145799992606,53.00145799992606,5.0,0.0002778750825844978,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/checkprime/checkIsPrimeNumber?number=10876051632893949,1,0,52.77508401195519,52.77508401195519,52.77508401195519,52.77508401195519,5.0,0.0002778750825844978,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/checkprime/checkIsPrimeNumber?number=10919656313026450,1,0,72.04145798459649,72.04145798459649,72.04145798459649,72.04145798459649,5.0,0.0002778750825844978,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/checkprime/checkIsPrimeNumber?number=10933239741913046,1,0,130.10904198745266,130.10904198745266,130.10904198745266,130.10904198745266,5.0,0.0002778750825844978,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/checkprime/checkIsPrimeNumber?number=10957708351690586,1,0,1585.1837929803878,1585.1837929803878,1585.1837929803878,1585.1837929803878,5.0,0.0002778750825844978,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/checkprime/checkIsPrimeNumber?number=10972124458349775,1,0,127.60445801541209,127.60445801541209,127.60445801541209,127.60445801541209,5.0,0.0002778750825844978,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/checkprime/checkIsPrimeNumber?number=11025065989346053,1,0,3248.6396680178586,3248.6396680178586,3248.6396680178586,3248.6396680178586,4.0,0.0002778750825844978,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/checkprime/checkIsPrimeNumber?number=11036080099568752,1,0,71.72491701203398,71.72491701203398,71.72491701203398,71.72491701203398,5.0,0.0002778750825844978,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/checkprime/checkIsPrimeNumber?number=11053586881645303,1,0,44.16487499838695,44.16487499838695,44.16487499838695,44.16487499838695,5.0,0.0002778750825844978,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/checkprime/checkIsPrimeNumber?number=11054301027580316,1,0,230.56108399759978,230.56108399759978,230.56108399759978,230.56108399759978,5.0,0.0002778750825844978,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/checkprime/checkIsPrimeNumber?number=11062213355570334,1,0,231.73708299873397,231.73708299873397,231.73708299873397,231.73708299873397,5.0,0.0002778750825844978,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/checkprime/checkIsPrimeNumber?number=11083209142643430,1,0,30.04704200429842,30.04704200429842,30.04704200429842,30.04704200429842,5.0,0.0002778750825844978,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/checkprime/checkIsPrimeNumber?number=11099469115263477,1,0,1912.4375419924036,1912.4375419924036,1912.4375419924036,1912.4375419924036,5.0,0.0002778750825844978,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/checkprime/checkIsPrimeNumber?number=11105518207650443,1,0,37.91958300280385,37.91958300280385,37.91958300280385,37.91958300280385,5.0,0.0002778750825844978,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/checkprime/checkIsPrimeNumber?number=11119733159543424,1,0,41.57816700171679,41.57816700171679,41.57816700171679,41.57816700171679,5.0,0.0002778750825844978,0.0,42,42,42,42,42,42,42,42,42,42,42
