Method,Name,Error,Occurrences
GET,/checkprime/checkIsPrimeNumber?number=87653057887723294,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=87653057887723294'),1
GET,/checkprime/checkIsPrimeNumber?number=73947337655832479,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='ad24f91ca746b4a6db0286ea6f1e35bb-1296116923.eu-central-1.elb.amazonaws.com', port=80): Read timed out. (read timeout=30)""))",1
GET,/checkprime/checkIsPrimeNumber?number=30728205992889761,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='ad24f91ca746b4a6db0286ea6f1e35bb-1296116923.eu-central-1.elb.amazonaws.com', port=80): Read timed out. (read timeout=30)""))",1
GET,/checkprime/checkIsPrimeNumber?number=12995128511277898,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=12995128511277898'),1
GET,/checkprime/checkIsPrimeNumber?number=55283652986834581,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='ad24f91ca746b4a6db0286ea6f1e35bb-1296116923.eu-central-1.elb.amazonaws.com', port=80): Read timed out. (read timeout=30)""))",1
GET,/checkprime/checkIsPrimeNumber?number=67457385125610049,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=67457385125610049'),1
GET,/checkprime/checkIsPrimeNumber?number=47307908585308880,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=47307908585308880'),1
GET,/checkprime/checkIsPrimeNumber?number=30582323429181656,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=30582323429181656'),1
GET,/checkprime/checkIsPrimeNumber?number=52821994284305814,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=52821994284305814'),1
GET,/checkprime/checkIsPrimeNumber?number=93624058073567894,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=93624058073567894'),1
GET,/checkprime/checkIsPrimeNumber?number=72540451784600634,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=72540451784600634'),1
GET,/checkprime/checkIsPrimeNumber?number=96828465250359334,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=96828465250359334'),1
GET,/checkprime/checkIsPrimeNumber?number=92775896402206242,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=92775896402206242'),1
GET,/checkprime/checkIsPrimeNumber?number=27681808823318254,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=27681808823318254'),1
GET,/checkprime/checkIsPrimeNumber?number=64505220658661483,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='ad24f91ca746b4a6db0286ea6f1e35bb-1296116923.eu-central-1.elb.amazonaws.com', port=80): Read timed out. (read timeout=30)""))",1
GET,/checkprime/checkIsPrimeNumber?number=11284485437087435,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=11284485437087435'),1
GET,/checkprime/checkIsPrimeNumber?number=78542403967288010,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=78542403967288010'),1
GET,/checkprime/checkIsPrimeNumber?number=40390578698996529,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=40390578698996529'),1
GET,/checkprime/checkIsPrimeNumber?number=37978616294072873,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=37978616294072873'),1
GET,/checkprime/checkIsPrimeNumber?number=93744312498090035,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=93744312498090035'),1
GET,/checkprime/checkIsPrimeNumber?number=26962865332067050,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=26962865332067050'),1
GET,/checkprime/checkIsPrimeNumber?number=86670439422739933,HTTPError('502 Server Error: Bad Gateway for url: /checkprime/checkIsPrimeNumber?number=86670439422739933'),1
