Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/checkIsPrimeNumber?number=88983914758142590,1,0,194.2595419986901,194.2595419986901,194.2595419986901,194.2595419986901,5.0,0.003342529175415359,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/checkIsPrimeNumber?number=88993996117542025,1,0,198.5969159995875,198.5969159995875,198.5969159995875,198.5969159995875,5.0,0.003342529175415359,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=89185902761656920,1,0,97.90824999981851,97.90824999981851,97.90824999981851,97.90824999981851,5.0,0.003342529175415359,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/checkIsPrimeNumber?number=89265230174285536,1,0,75.71850000022096,75.71850000022096,75.71850000022096,75.71850000022096,5.0,0.003342529175415359,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/checkIsPrimeNumber?number=89330138531080911,1,0,99.33345799981907,99.33345799981907,99.33345799981907,99.33345799981907,5.0,0.003342529175415359,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/checkIsPrimeNumber?number=89393562962691843,1,0,200.58154199978162,200.58154199978162,200.58154199978162,200.58154199978162,5.0,0.003342529175415359,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=89429205778232969,1,0,89.76249999977881,89.76249999977881,89.76249999977881,89.76249999977881,5.0,0.003342529175415359,0.0,90,90,90,90,90,90,90,90,90,90,90
GET,/checkIsPrimeNumber?number=89472093931427785,1,0,105.18741700070677,105.18741700070677,105.18741700070677,105.18741700070677,5.0,0.003342529175415359,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/checkIsPrimeNumber?number=89540621608278562,1,0,98.66212499946414,98.66212499946414,98.66212499946414,98.66212499946414,5.0,0.003342529175415359,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/checkIsPrimeNumber?number=89578103674862061,1,0,148.38233400041645,148.38233400041645,148.38233400041645,148.38233400041645,5.0,0.003342529175415359,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/checkIsPrimeNumber?number=89782565029489498,1,0,96.76766700067674,96.76766700067674,96.76766700067674,96.76766700067674,5.0,0.003342529175415359,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/checkIsPrimeNumber?number=89819570256906947,1,0,1400.947083999199,1400.947083999199,1400.947083999199,1400.947083999199,5.0,0.003342529175415359,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/checkIsPrimeNumber?number=89828464904062556,1,0,101.16279199974088,101.16279199974088,101.16279199974088,101.16279199974088,5.0,0.003342529175415359,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/checkIsPrimeNumber?number=89933469307704847,1,0,148.55837499999325,148.55837499999325,148.55837499999325,148.55837499999325,5.0,0.003342529175415359,0.0,150,150,150,150,150,150,150,150,150,150,150
