Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/checkprime?number=10035459240606036,1,0,658.7659169999824,658.7659169999824,658.7659169999824,658.7659169999824,813.0,0.003340615889735871,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/prod/checkprime?number=10119358145337895,1,0,882.4550419994921,882.4550419994921,882.4550419994921,882.4550419994921,831.0,0.003340615889735871,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/prod/checkprime?number=10161164426385838,1,0,367.43258299975423,367.43258299975423,367.43258299975423,367.43258299975423,813.0,0.003340615889735871,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/prod/checkprime?number=10241808853007418,1,0,721.7017500006477,721.7017500006477,721.7017500006477,721.7017500006477,777.0,0.003340615889735871,0.0,720,720,720,720,720,720,720,720,720,720,720
GET,/prod/checkprime?number=10252861873506979,1,0,441.59220899928187,441.59220899928187,441.59220899928187,441.59220899928187,777.0,0.003340615889735871,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/prod/checkprime?number=10268286852722426,1,0,3627.2963359988353,3627.2963359988353,3627.2963359988353,3627.2963359988353,831.0,0.003340615889735871,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
GET,/prod/checkprime?number=10271137172754641,1,0,839.4891669995559,839.4891669995559,839.4891669995559,839.4891669995559,831.0,0.003340615889735871,0.0,840,840,840,840,840,840,840,840,840,840,840
GET,/prod/checkprime?number=10459263589499917,1,0,418.7193750003644,418.7193750003644,418.7193750003644,418.7193750003644,831.0,0.003340615889735871,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/prod/checkprime?number=10475192069884447,1,0,659.3709169992508,659.3709169992508,659.3709169992508,659.3709169992508,813.0,0.003340615889735871,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/prod/checkprime?number=10515469868995076,1,0,433.21650000143563,433.21650000143563,433.21650000143563,433.21650000143563,777.0,0.003340615889735871,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/prod/checkprime?number=10536211118473092,1,0,11099.898671998744,11099.898671998744,11099.898671998744,11099.898671998744,795.0,0.003340615889735871,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/prod/checkprime?number=10685974553652575,1,0,636.4688339999702,636.4688339999702,636.4688339999702,636.4688339999702,777.0,0.003340615889735871,0.0,640,640,640,640,640,640,640,640,640,640,640
