Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/checkprime?number=10018214592581802,1,0,805.0452089810278,805.0452089810278,805.0452089810278,805.0452089810278,147.0,0.0002804824021616409,0.0,810,810,810,810,810,810,810,810,810,810,810
GET,/prod/checkprime?number=10020306006104990,1,0,611.8919590080623,611.8919590080623,611.8919590080623,611.8919590080623,57.0,0.0002804824021616409,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/prod/checkprime?number=10101402310682825,1,0,623.7927920010407,623.7927920010407,623.7927920010407,623.7927920010407,129.0,0.0002804824021616409,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,/prod/checkprime?number=10163266738510497,1,0,733.9403759979177,733.9403759979177,733.9403759979177,733.9403759979177,129.0,0.0002804824021616409,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/prod/checkprime?number=10234635732533482,1,0,802.3470839834772,802.3470839834772,802.3470839834772,802.3470839834772,147.0,0.0002804824021616409,0.0,800,800,800,800,800,800,800,800,800,800,800
GET,/prod/checkprime?number=10287363182067022,1,0,828.9132509962656,828.9132509962656,828.9132509962656,828.9132509962656,111.0,0.0002804824021616409,0.0,830,830,830,830,830,830,830,830,830,830,830
GET,/prod/checkprime?number=10396858871439232,1,0,587.8129590128083,587.8129590128083,587.8129590128083,587.8129590128083,57.0,0.0002804824021616409,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/prod/checkprime?number=10417229760376145,1,0,857.9703760042321,857.9703760042321,857.9703760042321,857.9703760042321,111.0,0.0002804824021616409,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/prod/checkprime?number=10531270643076124,1,0,9027.990003989544,9027.990003989544,9027.990003989544,9027.990003989544,93.0,0.0002804824021616409,0.0,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
GET,/prod/checkprime?number=10533022477558153,1,0,20047.7265920199,20047.7265920199,20047.7265920199,20047.7265920199,74.0,0.0002804824021616409,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
