Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1702124977,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1702124978,10,,Aggregated,0.000000,0.000000,500,510,530,530,550,550,550,550,550,550,550,10,0,490.0,502.7486544000567,456.7622920003487,551.6737919970183,55.8
1702124979,10,,Aggregated,0.000000,0.000000,500,510,530,530,550,550,550,550,550,550,550,10,0,490.0,502.7486544000567,456.7622920003487,551.6737919970183,55.8
1702124980,10,,Aggregated,0.000000,0.000000,500,510,530,530,550,550,550,550,550,550,550,10,0,490.0,502.7486544000567,456.7622920003487,551.6737919970183,55.8
1702124981,10,,Aggregated,10.000000,0.000000,460,490,500,510,530,550,550,550,550,550,550,20,0,140.0,305.99160005003796,85.51841700682417,551.6737919970183,56.5
1702124982,10,,Aggregated,10.000000,0.000000,460,490,500,510,530,550,550,550,550,550,550,20,0,140.0,305.99160005003796,85.51841700682417,551.6737919970183,56.5
1702124983,10,,Aggregated,5.000000,0.000000,120,140,490,490,530,530,550,550,550,550,550,30,0,120.0,236.91490279937474,80.53995900263544,551.6737919970183,58.166666666666664
1702124984,10,,Aggregated,5.000000,0.000000,120,140,490,490,530,530,550,550,550,550,550,30,0,120.0,236.91490279937474,80.53995900263544,551.6737919970183,58.166666666666664
1702124985,10,,Aggregated,5.000000,0.000000,120,140,490,490,530,530,550,550,550,550,550,30,0,120.0,236.91490279937474,80.53995900263544,551.6737919970183,58.166666666666664
1702124986,10,,Aggregated,4.285714,0.000000,110,140,460,490,510,530,550,550,550,550,550,38,0,110.0,206.9003596579454,72.57366699923296,551.6737919970183,57.63157894736842
1702124987,10,,Aggregated,4.285714,0.000000,110,140,460,490,510,530,550,550,550,550,550,38,0,110.0,206.9003596579454,72.57366699923296,551.6737919970183,57.63157894736842
1702124988,10,,Aggregated,3.750000,0.000000,120,140,490,490,530,1400,1400,1400,1400,1400,1400,40,0,110.0,265.62520732513804,72.57366699923296,1382.0927509950707,58.3
1702124989,10,,Aggregated,3.800000,0.000000,110,130,150,490,530,550,1400,1400,1400,1400,1400,50,0,110.0,232.60974676028127,69.67616701149382,1382.0927509950707,57.6
1702124990,10,,Aggregated,3.800000,0.000000,110,130,150,490,530,550,1400,1400,1400,1400,1400,50,0,110.0,232.60974676028127,69.67616701149382,1382.0927509950707,57.6
